App_ID,게임명,기존_대분류,기존_세부분류,최종_대분류,최종_세부분류,판정근거
6468988672,云•王者荣耀,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
1260427785,决战！平安京,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
1671108959,决胜巅峰,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
6447675106,宝可梦大集结,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
1502532906,曙光英雄-中单法王 艾蒙驾到,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
989673964,王者荣耀,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
1612566389,王者荣耀世界,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
1455054000,英雄联盟手游,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
1166486511,英魂之刃-5V5公平竞技MOBA手游,MOBA,MOBA,MOBA,MOBA,MOBA 세부분류 단일화
506655146,QQ农场,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1556383376,全民学霸-经营你的校园！,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
6448143424,卡通农场,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1533375965,叫我大掌柜,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
6736427807,可口的比萨,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
6478999510,四季物语-梦幻改装逆袭人生,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1142493772,坦克连,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
6755515009,大店小二,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1108800175,天天农场（Family Farm Seaside）,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1599425438,奥比岛：梦想国度,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
469027061,开心水族箱,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1597863714,开间小店,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1561903786,心动小镇,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1561943092,我是大东家,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1669193324,我的休闲时光,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
6746321359,我的花园世界,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
1544722749,拣爱,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
6504324535,时光杂货店,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션,경영/시뮬레이션 세부분류 단일화
